epoch,param,frob_norm,numel
1,layers.1.models.0.self_attn.K.weight,4.6431450843811035,4096
1,layers.1.models.0.self_attn.E.weight,4.564589023590088,4096
1,layers.1.models.0.self_attn.V.weight,4.656227111816406,4096
1,layers.1.models.0.self_attn.V_gate.weight,4.645883560180664,4096
1,layers.1.models.0.self_attn.shared_rel_emb_table.weight,0.3320939838886261,1152
1,layers.1.models.0.self_attn.proj_q.weight,0.6285365223884583,4096
1,layers.1.models.0.self_attn.proj_k.weight,0.6404616832733154,4096
1,layers.1.models.0.self_attn.proj_e.weight,0.6424700021743774,4096
1,layers.1.models.0.self_attn.proj_vg.weight,0.6521503329277039,4096
1,layers.1.models.0.norm1_attn.weight,7.999740123748779,64
1,layers.1.models.0.norm1_attn.bias,0.0025200119707733393,64
1,layers.1.ff_linear1.weight,6.505889415740967,8192
1,layers.1.ff_linear1.bias,0.7954679727554321,128
1,layers.1.ff_linear2.weight,4.674055099487305,8192
1,layers.1.ff_linear2.bias,0.41895654797554016,64
1,layers.1.norm2.weight,7.9998931884765625,64
1,layers.1.norm2.bias,0.0024213239084929228,64
1,layers.2.models.0.self_attn.Q.weight,4.650752067565918,4096
1,layers.2.models.0.self_attn.K.weight,4.628993988037109,4096
1,layers.2.models.0.self_attn.E.weight,4.649139881134033,4096
1,layers.2.models.0.self_attn.V.weight,4.633849143981934,4096
1,layers.2.models.0.self_attn.V_gate.weight,4.585170269012451,4096
1,layers.2.models.0.self_attn.shared_rel_emb_table.weight,0.33850619196891785,1152
1,layers.2.models.0.self_attn.proj_q.weight,0.6398095488548279,4096
1,layers.2.models.0.self_attn.proj_k.weight,0.6404392123222351,4096
1,layers.2.models.0.self_attn.proj_e.weight,0.6373568177223206,4096
1,layers.2.models.0.self_attn.proj_vg.weight,0.6481621861457825,4096
1,layers.2.models.0.norm1_attn.weight,8.000134468078613,64
1,layers.2.models.0.norm1_attn.bias,0.002729508327320218,64
1,layers.2.ff_linear1.weight,6.524444580078125,8192
1,layers.2.ff_linear1.bias,0.82621169090271,128
1,layers.2.ff_linear2.weight,4.651581764221191,8192
1,layers.2.ff_linear2.bias,0.418530136346817,64
1,layers.2.norm2.weight,8.000081062316895,64
